experiment_type,setting_value,trial,method,noise_sigma,outlier_ratio,n_points,init_rot_deg,init_trans_norm,huber_delta,success,clean_reprojection_rmse,observed_reprojection_rmse,rotation_error_deg,translation_error,num_iters,final_cost
initialization,2.0,2,Ordinary-LM,1.0,0.1,80,1.9980239213753965,0.23430362567804355,,1,23.595186861109163,72.795297628168,0.8604336340161385,0.3834538571903973,8,423932.4285418849
initialization,2.0,2,Huber-LM,1.0,0.1,80,1.9980239213753965,0.23430362567804355,5.0,1,0.6819507467804289,76.31280330479633,0.06591056104478159,0.014602448613137548,6,9091.204132652805
initialization,8.0,0,Ordinary-LM,1.0,0.1,80,7.988940060203998,0.14759187318618427,,1,10.191925627898408,49.25316785850936,2.4244694822055353,0.2981463058010549,6,194069.9635278799
initialization,8.0,0,Huber-LM,1.0,0.1,80,7.988940060203998,0.14759187318618427,5.0,1,0.39788249962158767,50.233891777503295,0.14643630035398836,0.01639787596473954,7,5885.532546653025
initialization,8.0,1,Ordinary-LM,1.0,0.1,80,7.987932959012197,0.12217269804682054,,1,16.97496468128562,58.64814275078121,3.1702185056704772,0.506305535680046,7,275168.3718492809
initialization,8.0,1,Huber-LM,1.0,0.1,80,7.987932959012197,0.12217269804682054,5.0,1,0.4910925173080135,60.90353688351606,0.12499401096489086,0.015426635956303858,7,7528.002483059454
initialization,8.0,2,Ordinary-LM,1.0,0.1,80,7.9871502956066305,0.2539556832547046,,1,12.321437305259149,64.45959954117534,1.9704194309596907,0.2889983630716177,7,332403.1978406954
initialization,8.0,2,Huber-LM,1.0,0.1,80,7.9871502956066305,0.2539556832547046,5.0,1,0.3733942597856591,65.59499449608872,0.09782986869718495,0.012011327048077391,6,7428.519143509329
initialization,16.0,0,Ordinary-LM,1.0,0.1,80,15.998455289646287,0.06374589316470183,,1,13.331983374284246,49.21398509647477,3.731762529041398,0.35401672309456866,6,193761.30632608332
initialization,16.0,0,Huber-LM,1.0,0.1,80,15.998455289646287,0.06374589316470183,5.0,1,0.5427042332374141,50.89753834479546,0.20839152769429542,0.020231531130325258,7,6009.584269613335
initialization,16.0,1,Ordinary-LM,1.0,0.1,80,15.985690739500383,0.05543179230170271,,1,19.327836132433358,60.2873207947157,3.7548579258479875,0.4162083091598554,7,290764.8838883968
initialization,16.0,1,Huber-LM,1.0,0.1,80,15.985690739500383,0.05543179230170271,5.0,1,0.4818366043654464,63.19204404567758,0.11882156094790593,0.011544099869454245,6,7687.204341011109
initialization,16.0,2,Ordinary-LM,1.0,0.1,80,15.974068968378017,0.0891391304680393,,1,19.20891361965419,75.0044986863775,3.088940424600097,0.5137059025804732,5,450053.98585558427
initialization,16.0,2,Huber-LM,1.0,0.1,80,15.974068968378017,0.0891391304680393,5.0,1,0.554862001570773,77.31996477613744,0.08406948551913772,0.011907594841845979,6,9054.728867029948
point_count,40.0,0,Ordinary-LM,1.0,0.25,40,4.994711577989229,0.202337354274554,,1,38.738697864917256,76.69164808863827,8.102428297924158,1.2212228501811222,8,235264.35546206136
point_count,40.0,0,Huber-LM,1.0,0.25,40,4.994711577989229,0.202337354274554,5.0,1,2.0871374556671367,85.07053762136061,0.37069366361987105,0.05934272378060058,20,6718.876101738873
point_count,40.0,1,Ordinary-LM,1.0,0.25,40,4.9991380852424365,0.1486696334412005,,1,38.94433328717673,83.46088993775842,11.533905040853872,1.2065027591029378,9,278628.80596810504
point_count,40.0,1,Huber-LM,1.0,0.25,40,4.9991380852424365,0.1486696334412005,5.0,1,1.7090466818459664,91.43608685107174,0.5686268838770343,0.051892738084297924,8,8740.153100861464
point_count,40.0,2,Ordinary-LM,1.0,0.25,40,4.997852177092743,0.18738127657548934,,1,31.546729085419756,87.32364329852372,9.12738325099912,0.8347425076608987,8,305016.74715711223
point_count,40.0,2,Huber-LM,1.0,0.25,40,4.997852177092743,0.18738127657548934,5.0,1,1.3653767845469609,92.47778362979673,0.5006653779420636,0.04543898491847781,8,8126.694274039279
point_count,120.0,0,Ordinary-LM,1.0,0.25,120,4.99201887990157,0.08526533697111709,,1,29.158932310306643,87.08824634608527,5.408401589744184,0.8709497172773748,7,910123.5181963721
point_count,120.0,0,Huber-LM,1.0,0.25,120,4.99201887990157,0.08526533697111709,5.0,1,0.8589302916099634,91.57321047490808,0.13792457333822614,0.02046811313717697,8,24395.347071598146
point_count,120.0,1,Ordinary-LM,1.0,0.25,120,4.992283648852679,0.0992929089138168,,1,36.13613197366618,89.4318615530798,2.6491938516757614,0.7989738520132498,9,959766.9433019079
point_count,120.0,1,Huber-LM,1.0,0.25,120,4.992283648852679,0.0992929089138168,5.0,1,1.236229457866842,95.9775167225197,0.10559918510469295,0.02344999384567574,7,27235.81700958667
point_count,120.0,2,Ordinary-LM,1.0,0.25,120,4.992786361831398,0.09265093213307316,,1,21.61362559413583,78.94463664842245,1.5777427558618775,0.505806883196873,7,747870.6786661732
point_count,120.0,2,Huber-LM,1.0,0.25,120,4.992786361831398,0.09265093213307316,5.0,1,0.7084359491757912,81.63078482010664,0.0731738929670505,0.013028692796239645,7,22224.685316857867
huber_delta,2.0,0,Huber-LM,1.0,0.25,80,4.992865848365467,0.1720810069363463,2.0,1,0.7609113101119149,95.2402616596008,0.04913970725568247,0.01655544581633747,14,6968.196920358314
huber_delta,2.0,1,Huber-LM,1.0,0.25,80,4.991981253211673,0.19380422774201364,2.0,1,0.5689954798115078,101.56734708584978,0.08022801763617134,0.01035586019027456,14,7280.272699102187
huber_delta,2.0,2,Huber-LM,1.0,0.25,80,4.991992343232606,0.0403343085938547,2.0,1,0.2990572793867973,104.64299111627126,0.030451414456607727,0.006627618634297596,10,8094.2722818235325
huber_delta,5.0,0,Huber-LM,1.0,0.25,80,4.995743802297214,0.13813415630936762,5.0,1,0.9709428223354708,101.28603003721446,0.07792362299923312,0.015547439122168489,7,18544.259306155895
huber_delta,5.0,1,Huber-LM,1.0,0.25,80,4.992215737392781,0.20678373410395567,5.0,1,1.3204416988057184,119.25132951849447,0.18290623236349607,0.03539967878208678,7,22043.2694841168
huber_delta,5.0,2,Huber-LM,1.0,0.25,80,4.999212753097069,0.19755081813003394,5.0,1,1.1280395612030845,99.22878148873012,0.13976202036846175,0.021214241240039303,8,17708.8122702997
huber_delta,12.0,0,Huber-LM,1.0,0.25,80,4.995098302127738,0.07164948865533809,12.0,1,3.2875415214235852,96.44712101291523,0.1702657880777714,0.089123662672561,8,41605.958690401574
huber_delta,12.0,1,Huber-LM,1.0,0.25,80,4.994474110701477,0.25723468923614673,12.0,1,3.4788036304798413,94.19971762324074,0.8067485655837718,0.10047448151382796,8,41063.755201268534
huber_delta,12.0,2,Huber-LM,1.0,0.25,80,4.993633926481656,0.17122649908912,12.0,1,2.256353742484907,83.05960242265185,0.5244308081493949,0.07175048727802724,8,35403.997908195306
